Product,Price,Image URL
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Black,KSh 899,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/908043/1.jpg?2939
Fashion 6Pcs Soft Cotton Checked Men's Boxers ? Multicolor,KSh 618,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/432928/1.jpg?7106
"Annov Blender & Grinder - 1.6L, 350W + 1Spoon 1Fork- BLUE","KSh 1,979",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/138974/1.jpg?0468
Jogoo Jogoo Maize Meal - 2Kg,KSh 199,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/785634/1.jpg?6177
Fashion T-shirt 3 Pcs Men's Fashion Short Sleeve 100% High Quality,KSh 960,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/147838/1.jpg?1361
Amana Pishori - 5kg,"KSh 1,076",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/197974/1.jpg?7599
TC 3 Column Portable Wardrobe-Brown,"KSh 2,549",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/647943/1.jpg?1747
"Infinix Smart 7 HD, 6.6"", 2GB RAM, 64GB, 5000mAh, 4G(DUAL SIM) - Ink Black","KSh 10,309",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/2338621/1.jpg?8497
Seagrams Seagrams Imperial Blue Whiskey - 750ml,KSh 940,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/193585/1.jpg?5512
"Tornado 32"" Inch Digital LED TV, HD Built-In Receiver","KSh 9,579",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/0378111/1.jpg?3209
Annov 7-Speed Portable Hand Mixer,KSh 659,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/748943/1.jpg?3894
Ramtons Corded Kettle Rm/399 1.7ltr,"KSh 1,291",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/7354711/1.jpg?7748
